回到家迫不及待开箱验货，颜值美爆了，开机速度5秒，没有一点噪音，速度超级快，办公娱乐都很哇塞，惠普绝对可靠，期待后续使用，运行速度：快，屏幕效果：完美，散热性能：棒，外形外观：一级棒，其他特色：办公娱乐轻松拿下,3
送机速度挺快的，开机速度也快，总体颜值很高，特别美观，简约风，我很喜欢，电脑很轻，便于携带，客服的态度非常好，续航能力不错，可以玩一上午，喜欢的姐妹赶快下单吧！，屏幕效果：好，外形外观：巨棒，轻薄程度：薄,3
电脑还可以指纹解锁。非常棒！很喜欢，电脑性能好。颜值也特别高。很好看。鼠标的灯有好几种颜色。特别喜欢这台电??，屏幕效果：很清晰的，轻薄程度：很薄。方便携带,3
运行速度：挺快的，屏幕效果：清晰度和分辨率都还不错，散热性能：还可以，外形外观：很好看，配色很好，轻薄程度：轻，其他特色：个人觉得还是很好的，很值得购买,3
电脑收到了，包装的很好，完好无损，客服的服务态度超级好，很耐心电脑屏幕适中，很便携，屏幕清晰，客服真的超级棒，很热情敬业。,3
电脑非常好用，非常薄，适合办公携带，，颜色粉色但是不是妖艳的粉色，非常好看，性能非常好，不卡，日常的办公毫无压力。，颜值也和也很高，适合年轻人使用。，惠普电脑 值得拥有,3
电脑粉色的很好看。然后音质也很好。视频也很清晰。显示器也很大。触感很舒服 指纹也很灵敏 键盘大小也特别舒服。客服也很好。很耐心的回答我的问题。回答我也很快 很喜欢客服也很喜欢电脑 perfect,3
电脑很好，很轻薄，女孩子用起来很不错。速度很快，也许因为是新电脑吧，系统很干净。散热也很好，因为没玩大型游戏，用起来很爽。，总之，电脑很不错。,3
外形外观：外形外观：颜值一百分 很适合女孩子 ，轻薄程度：很轻薄，散热性能：目前来说还不错，屏幕效果：很赞 很舒服，运行速度：键盘很不错 操作很流畅 指纹解锁也很快，其他特色：电脑包和鼠标都很普通的那种 打算另外再买,3
电脑今天刚拿到 外观很好看 很喜欢 ，颜值较高 。除此之外 我买的是银色 ，没有色差 ，颜色很正 。这个价位拿到这样的电脑 我很满意 。开始使用的时候 电脑反应速度很快 ，非常nice 。,3
售后服务很好，电脑也很棒，快递也很快的，客服沟通很亲切，超级喜欢，电脑很顺畅的，开机很快，超级喜欢客服的服务,3
活动买的非常优惠，运行速度：很好，很满意，很喜欢，值得购买。，用着也不卡   建筑系买的   还不错  推荐,3
电脑收到了，非常喜欢，电脑开机快，第一次开机，有简单的安装步骤，方便快捷，一次不错的购物体验！！,3
早就相中了这款电脑～现在毕业啦，可以满足拥有属于自己的小电脑啦，真的超激动期待鸭～收到货，真的惊艳到我了，电脑性能这方面不用说，指纹解锁一键搞定，安全性能敲级好，质量这方面也不用说，惠普也是知名品牌，根本不需要担心这些。电脑不仅轻巧薄，而且颜值还特别高！特别是粉色的，特别适合女生，真的满足了我的小小少女心鸭！！！哈哈哈，有问题客服姐姐也超级耐心的给我解决指导，物流也快，包装严实，也没有破损的地方。总之就是很满意的一次购物！！！,3
买回来用了十来天，感觉非常不错，体积小，不重，非常适合女生，CPU是目前比较高端的，这款还带了英伟达，运行速度快，一点也不卡顿，强烈推荐,3
运行速度：速度没得说，最新11代i5，日常软件都很快。，屏幕效果：高色域屏幕看电影很不多，雾面屏不反光。，外形外观：外观是选了好久的，给媳妇儿选的粉色的，金属外壳很有质感。，轻薄程度：两斤多点算是很轻薄了吧。,3
客服非常友好，有问必答，回答也很耐心细致，发货速度很快，到货也快，收到后两层盒子包装，内层包装十分完好，电脑颜值很高，可控背光键盘亮点，试运行了几天，速度很快，目前来讲，还是很不错的！,3
发货及时，包装很好，电脑很不错，是我喜欢的小巧，精致。开机非常快，运行声音几乎听不到到，因本人对电脑一敲不通，联系卖家也是非常热情，一次不错的购物！,3
包装的很完美，好几层加固，粉色的外观简直爱了，好看的一批，，客服小姐姐也态度很好，各种问题都帮我解决了。，运行速度：也很快,3
运行速度：很快，屏幕效果：很高，散热性能：很棒，外形外观：很美观  超级喜欢，，轻薄程度：轻薄，其他特色：很适合学生党,3
很喜欢惠普的笔记本电脑，首先我买的电脑是粉红色的，外观很好看，对我这种很喜欢这种少女粉的人来说，真是太太漂亮了，很满意。 其次，性能，因为主要是学生在用，平常也不用打什么大型的游戏，就是来看看电视剧，偶尔用一一下而已，所以这方面没有什么太大的感受，等用过一个月后再来追评。 再者，关于重量，我觉得还行，不是太重，尺寸耶刚刚好。 散热还是可以的，最大的优点是充电很快!满意好评！,3
这个颜色很喜欢，摸起来质感不错，非常值得信赖的品牌，质量有保障，相当满意刚好做活动，价格便宜了很多，性价比超高，真的特别划算产品质量，客服服务态度特别好，很喜欢，好评,3
轻薄程度：很便捷，很轻携，很适合女生的的一款初恋粉。，外形外观：很简洁，整体挺好看的，侧面看着挺好看。主观很适合一些简单风格的人。，运行速度：打游戏的话不卡，挺快的，作图，PS，CAD一些专业的应用，都可以的。,3
第一次买电脑，选了很多，最后选择了惠普，果然没让我失望，这个电脑尺寸很好，很适合我小小的，然后也可以指纹解锁。客服也很认真的给我解说你给我安装了一些软件，然后开机的速度也很快，几秒就开机了，颜值也很好，所以信赖惠普。，运行速度：快，屏幕效果：好，散热性能：可以，外形外观：好看，轻薄程度：薄，不重,3
非常的好 性价比也好 服务态度也非常好 很流畅 包装很好 用了一上午，质量没问题，值得信赖的商家，优秀的客服，有问必答，开心的购物旅程！有需要下次一定还回来购买，最优秀的商家，你会越做越好的。诚信商家，大家可以放心购买！信誉保障！，外观材质挺大气的，新款式，不错显卡效果曲平的，看着很清晰，屏幕也足够大了，配置还挺好，运行流畅，***，比实体店便宜了很多，音质号，运行速度快，开级速度也很快，发货快，服务热情，超级有耐心，非常非常满意,3
电脑收到了，首先就一直很喜欢电脑的外观，第一次开机，有简单的安装步骤，方便快捷，特别适合我们女孩子，能简单快速的进入到使用页面，屏幕给人很大气的感觉，也比较轻薄，方便携带，棒?,3
运行速度：用了一段时间，速度可以的。，屏幕效果：挺好的。，散热性能：散热可以，偶尔听到风扇的声音，声音不是很大。，外形外观：淡淡的粉，很少女心，这款很适合女孩子。，轻薄程度：可以。，其他特色：整体来说，都可以。目前还没发现什么毛病。,3
笔记本到手颜值超高 银色很漂亮，客服服务态度很好 快递包装很完整 没有磕碰，电脑保护的很好 还赠送了电脑包鼠标，轻薄程度：电脑很薄 很轻 携带方便，屏幕效果：显示度高 很清晰，运行速度：初次开机时间会长一点 其他运行速度很快,3
之前一直在留意，一直没有下手，最终还是买了这款，到货之后简直喜欢的不要不要的，颜值担当，太喜欢了，刚买回来，不怎么会使用，全部靠客服的耐心讲解，服务态度非常满意，爱了爱了，实在是喜欢，没有后悔，下次还来。,3
轻薄程度：很轻薄，外形外观：非常好看，高级，屏幕效果：显色很好，散热性能：散热快，不发热，其他特色：快递物流除去疫情等不确定因素的话还是很快的，我的快递由于疫情原因滞留了10天，今天才到，包装还是很不错的。,3
十分好看 很适合学生用 而且服务态度非常非常好  是一个超级好的商家  希望大家多多光顾,3
电脑真的很不错！散热也挺好的也特别快，感觉很方便也挺薄的又轻便适合女孩子而且好看，赞赞赞?,3
电脑做得精致，手感特别好非常满意，非常适合学习办公使用，关键颜值高，我特别喜欢运行速度，还可以喜欢就下单吧。重量也不是很重，方便携带小巧，轻便机身是金属的。,3
外形外观：非常喜欢，很适合女生，轻薄程度：很轻便，屏幕效果：很清晰，，个人还是比较满意的，用来学习，追剧，打小游戏完全合适，使用体验感不错，客服也很有耐心。,3
